pair_id,category,drawing_key_id_1,drawing_key_id_2,ci_lower_human,ci_upper_human,human_rating_mean,n_participants
1,bread,4512057078579200,5301208245862400,6.333333333333333,7,6.666666666666667,9
2,bread,4512177153114112,6334400226656256,1.6666666666666667,3.6666666666666665,2.5,6
3,bread,4517415574568960,5171456952500224,1,1.75,1.375,8
4,bread,4553981596532736,5760679489306624,5.083333333333333,6.666666666666667,5.916666666666667,12
5,bread,4561961628991488,5215576467177472,3.6363636363636362,5.2727272727272725,4.454545454545454,11
6,bread,4588376130846720,5275074091286528,7,7,7,5
7,bread,4603484299067392,5826439611940864,1.4444444444444444,2.2222222222222223,1.7777777777777777,9
8,bread,4603484299067392,6456419710664704,4.111111111111111,6.333333333333333,5.222222222222222,9
9,bread,4623583877791744,4601234612813824,4.7,6.3,5.5,10
10,bread,4653333350449152,6697488574578688,3.3057692307692323,5.076923076923077,4.230769230769231,13
11,bread,4656048642195456,6303531139072000,2.25,4.083333333333333,3.0833333333333335,12
12,bread,4673896848556032,4988894737072128,2.272727272727273,4.636363636363637,3.3636363636363638,11
13,bread,4674210850930688,6019556508172288,5.2,7,6.2,10
14,bread,4683017245163520,6471038269390848,6,7,6.5,10
15,bread,4693938105483264,6617681694294016,6.5,7,6.75,8
16,bread,4696621705068544,5690227727269888,3.425000000000003,5.432142857142853,4.428571428571429,7
17,bread,4705301078999040,4803424270942208,2.1818181818181817,3.4545454545454546,2.8181818181818183,11
18,bread,4705301078999040,5087658025943040,5.444444444444445,6.777777777777778,6.222222222222222,9
19,bread,4706969170477056,6679387804008448,3.2222222222222223,5.333333333333333,4.222222222222222,9
20,bread,4712557224919040,5830382022819840,5,6.875,6.125,8
21,bread,4762845570924544,4813886261821440,3.4444444444444446,5.777777777777778,4.555555555555555,9
22,bread,4774223929147392,6438204339126272,3.2222222222222223,4.888888888888889,4,9
23,bread,4801654475980800,6291120428417024,2.6153846153846154,4.001923076923076,3.230769230769231,13
24,bread,4806635111317504,4685170688917504,4.857142857142857,7,6,7
25,bread,4808817424465920,5883436562644992,4.75,6.75,5.875,8
26,bread,4823807099404288,6706496714833920,3.8,5.533333333333333,4.733333333333333,15
27,bread,4835178172121088,6368627156582400,4.714285714285714,6.142857142857143,5.428571428571429,7
28,bread,4871156911833088,6133755125170176,2.6666666666666665,4.166666666666667,3.3333333333333335,6
29,bread,4883190625861632,4906501724438528,4.219444444444448,6.777777777777778,5.555555555555555,9
30,bread,4925687158800384,6100771890266112,1.6666666666666667,5,3.1666666666666665,6
31,bread,4936112269164544,4755338572070912,4.153846153846154,6.384615384615385,5.3076923076923075,13
32,bread,4937218844000256,6314443111661568,3,5.181818181818182,4.090909090909091,11
33,bread,4945893591613440,5846668555583488,5.3076923076923075,6.846153846153846,6.230769230769231,13
34,bread,4960131072655360,4809963576754176,5.6923076923076925,6.615384615384615,6.153846153846154,13
35,bread,4978898532040704,5972817654841344,3.142857142857143,6.571428571428571,4.857142857142857,7
36,bread,4993213125361664,5672293961302016,4.625,6.5,5.625,8
37,bread,4997464316706816,6420443571421184,3.567857142857146,6.142857142857143,5,7
38,bread,5015407364669440,5889453543391232,1.1,1.7,1.4,10
39,bread,5015899692072960,5945098854465536,5.636363636363637,6.909090909090909,6.363636363636363,11
40,bread,5018645451243520,6746778944667648,6,6.8,6.4,10
41,bread,5030435874668544,5345981434429440,7,7,7,6
42,bread,5038028525404160,5331899549483008,5.75,6.75,6.25,12
43,bread,5054457341542400,4701830862864384,2.2,3.8,3,5
44,bread,5055594903896064,6129118624088064,5.666666666666667,7,6.5,12
45,bread,5057106950488064,6622646538076160,2.875,4.875,3.875,8
46,bread,5069642584293376,5266744761384960,4.357142857142857,6.214285714285714,5.357142857142857,14
47,bread,5085614447788032,4830263773233152,4.663888888888891,6.780555555555552,5.888888888888889,9
48,bread,5094016758579200,6311392644694016,7,7,7,6
49,bread,5097250768289792,4534849647935488,4.714285714285714,6.571428571428571,5.714285714285714,14
50,bread,5106353162944512,5613401130663936,6.7,7,6.9,10
51,bread,5113019975598080,6214978379972608,4.5,6.75,5.5,4
52,bread,5113801491873792,6531895909154816,3.3333333333333335,4.888888888888889,4.111111111111111,9
53,bread,5114652717481984,4579761516969984,5.090909090909091,6.454545454545454,5.818181818181818,11
54,bread,5132349257809920,6234092729270272,4.3076923076923075,6.384615384615385,5.384615384615385,13
55,bread,5138400535379968,4597371323285504,3,5.2,4,10
56,bread,5138470362152960,6237249777696768,3.857142857142857,6.571428571428571,5.285714285714286,7
57,bread,5161026624421888,5762596114268160,2,3.3333333333333335,2.6666666666666665,6
58,bread,5164322542059520,4553901250445312,4.181818181818182,6.181818181818182,5.181818181818182,11
59,bread,5165722164527104,5848453651365888,2.2222222222222223,3.3333333333333335,2.7777777777777777,9
60,bread,5171070506106880,4690437874909184,2.111111111111111,3.5555555555555554,2.888888888888889,9
61,bread,5192786494095360,5112461394968576,5.25,6.75,6.083333333333333,12
62,bread,5196818612748288,4557891681910784,5.416666666666667,6.666666666666667,6.083333333333333,12
63,bread,5205133065453568,5236057568182272,4.333333333333333,6.111111111111111,5.222222222222222,9
64,bread,5205542899286016,6436450415411200,5.636363636363637,6.7272727272727275,6.181818181818182,11
65,bread,5259239473807360,6526906755186688,5.545454545454546,6.818181818181818,6.2727272727272725,11
66,bread,5288154615513088,5203904016941056,5.997916666666669,7,6.5,12
67,bread,5299291230830592,5761119253692416,3.125,5.25,4.125,8
68,bread,5300083971063808,4828986288898048,5.916666666666667,6.75,6.333333333333333,12
69,bread,5303571232849920,6333377877639168,6,6.846153846153846,6.461538461538462,13
70,bread,5308799332122624,5008995184017408,3.8461538461538463,5.38653846153846,4.6923076923076925,13
71,bread,5310246903873536,6598053354012672,5.230769230769231,6.540384615384613,5.923076923076923,13
72,bread,5347838085038080,5202895408463872,5.444444444444445,6.777777777777778,6.111111111111111,9
73,bread,5355326226300928,6334006687694848,6.571428571428571,7,6.857142857142857,7
74,bread,5357625262735360,4772489919987712,5.230769230769231,7,6.230769230769231,13
75,bread,5369757920395264,6623091268517888,6,7,6.5,8
76,bread,5371470186283008,6355479506714624,5.333333333333333,6.666666666666667,6,6
77,bread,5383724180963328,4838273455226880,4.1795454545454565,5.7272727272727275,4.909090909090909,11
78,bread,5385189100355584,6112834557575168,4.333333333333333,5.666666666666667,5.111111111111111,9
79,bread,5386147704340480,6462238451826688,6,6.8,6.4,10
80,bread,5387131901968384,4774223929147392,5.090909090909091,6.636363636363637,5.909090909090909,11
81,bread,5430369438400512,4706202653032448,5.857142857142857,6.928571428571429,6.5,14
82,bread,5459817109913600,6696240316153856,4.615384615384615,6.309615384615383,5.538461538461538,13
83,bread,5464578739666944,5407435604885504,2,4.574999999999997,3.2857142857142856,7
84,bread,5464578739666944,6406059121967104,6.571428571428571,7,6.857142857142857,7
85,bread,5481995800936448,5786918983827456,6.4,7,6.8,5
86,bread,5481995800936448,6382855632453632,6.571428571428571,7,6.857142857142857,7
87,bread,5507829509128192,5139027634159616,6.428571428571429,7,6.714285714285714,7
88,bread,5522072862195712,6151037725442048,3,5,4,8
89,bread,5530798088257536,6112946063147008,6,7,6.571428571428571,7
90,bread,5530798088257536,6476551229014016,4.777777777777778,6.222222222222222,5.555555555555555,9
91,bread,5544098662449152,5889453543391232,4.454545454545454,6.547727272727271,5.7272727272727275,11
92,bread,5547682443558912,6665163765710848,3.3,4.9,4.1,10
93,bread,5556117507670016,4553789262528512,4.769230769230769,6,5.384615384615385,13
94,bread,5556117507670016,4903159707205632,1.2222222222222223,2.3333333333333335,1.7777777777777777,9
95,bread,5563572501348352,4862302434099200,5,6.636363636363637,5.909090909090909,11
96,bread,5590854536265728,5565220674076672,1.3333333333333333,2.835416666666665,2,12
97,bread,5596632420712448,4951663540436992,4.5,6.083333333333333,5.25,12
98,bread,5623729692344320,6536574558797824,3.6,5.8,4.6,5
